Nombre de la imagen	Clasificación generada	Clasificación real
processed512/box_01_freq_reflect_967f6d73-0e1b-11ef-bd76-047c16a08772_0-33_80-90.png	box	box
processed512/cross_01_freq_reflect_b1de6052-eca2-11ee-9194-047c16a08772_0-823_80-90.png	box	cross
processed512/box_01_freq_reflect_2a1a6b92-ea35-11ee-b922-047c16a08772_0-13_80-90.png	box	box
processed512/cross_01_freq_reflect_3bb122d5-e627-11ee-9e43-a4c3f0508c4a_0-223_80-90.png	cross	cross
processed512/box_01_freq_reflect_c49e201f-ae96-11ee-88f3-047c16a08772_0-174_80-90.png	cross	box
processed512/cross_01_freq_reflect_bb139a98-e549-11ee-944e-047c16a08772_0-723_80-90.png	box	cross
processed512/cross_01_freq_reflect_3be7fd33-bd16-11ee-be43-047c16a08772_0-1069_80-90.png	box	cross
processed512/cross_01_freq_reflect_08722430-e07c-11ee-9128-047c16a08772_0-93_80-90.png	cross	cross
processed512/circ_01_freq_reflect_536ce6b7-e07b-11ee-9fac-047c16a08772_0-140_80-90.png	circ	circ
processed512/cross_01_freq_reflect_b1de6052-eca2-11ee-9194-047c16a08772_0-514_80-90.png	cross	cross
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-829_80-90.png	circ	circ
processed512/cross_01_freq_reflect_8079ceb8-e14d-11ee-9a7b-047c16a08772_0-12_80-90.png	cross	cross
processed512/circ_01_freq_reflect_6d743d30-e161-11ee-907c-047c16a08772_0-35_80-90.png	circ	circ
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-778_80-90.png	box	box
processed512/circ_01_freq_reflect_b7692f2a-b9ff-11ee-8bd2-047c16a08772_0-483_80-90.png	circ	circ
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-74_80-90.png	circ	circ
processed512/box_01_freq_reflect_e3744294-aba9-11ee-b4d0-047c16a08772_0-380_80-90.png	box	box
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-142_80-90.png	circ	circ
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-168_80-90.png	circ	circ
processed512/cross_01_freq_reflect_dc0015a7-e854-11ee-88eb-a4c3f0508c4a_0-411_80-90.png	cross	cross
processed512/circ_01_freq_reflect_6d743d30-e161-11ee-907c-047c16a08772_0-402_80-90.png	circ	circ
processed512/cross_01_freq_reflect_e9503ad7-c681-11ee-809f-047c16a08772_0-113_80-90.png	box	cross
processed512/circ_01_freq_reflect_bc37ca3a-c608-11ee-97a2-047c16a08772_0-30_80-90.png	circ	circ
processed512/cross_01_freq_reflect_3be7fd33-bd16-11ee-be43-047c16a08772_0-856_80-90.png	cross	cross
processed512/box_01_freq_reflect_0ed3a0e8-a653-11ee-9db6-047c16a08772_0-352_80-90.png	box	box
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-427_80-90.png	circ	circ
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-883_80-90.png	circ	circ
processed512/cross_01_freq_reflect_b1de6052-eca2-11ee-9194-047c16a08772_0-539_80-90.png	cross	cross
processed512/circ_01_freq_reflect_6d743d30-e161-11ee-907c-047c16a08772_0-374_80-90.png	circ	circ
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-1446_80-90.png	circ	circ
processed512/circ_01_freq_reflect_b7692f2a-b9ff-11ee-8bd2-047c16a08772_0-156_80-90.png	circ	circ
processed512/cross_01_freq_reflect_bb139a98-e549-11ee-944e-047c16a08772_0-76_80-90.png	cross	cross
processed512/box_01_freq_reflect_c49e201f-ae96-11ee-88f3-047c16a08772_0-17_80-90.png	box	box
processed512/box_01_freq_reflect_c49e201f-ae96-11ee-88f3-047c16a08772_0-138_80-90.png	box	box
processed512/cross_01_freq_reflect_3be7fd33-bd16-11ee-be43-047c16a08772_0-1012_80-90.png	cross	cross
processed512/box_01_freq_reflect_0ed3a0e8-a653-11ee-9db6-047c16a08772_0-331_80-90.png	cross	box
processed512/cross_01_freq_reflect_bb139a98-e549-11ee-944e-047c16a08772_0-715_80-90.png	cross	cross
processed512/cross_01_freq_reflect_8079ceb8-e14d-11ee-9a7b-047c16a08772_0-553_80-90.png	cross	cross
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-953_80-90.png	circ	circ
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-315_80-90.png	circ	circ
processed512/cross_01_freq_reflect_8079ceb8-e14d-11ee-9a7b-047c16a08772_0-447_80-90.png	box	cross
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-1150_80-90.png	circ	circ
processed512/cross_01_freq_reflect_e9503ad7-c681-11ee-809f-047c16a08772_0-390_80-90.png	cross	cross
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-745_80-90.png	box	box
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-905_80-90.png	cross	box
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-554_80-90.png	box	box
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-1544_80-90.png	circ	circ
processed512/cross_01_freq_reflect_3be7fd33-bd16-11ee-be43-047c16a08772_0-1128_80-90.png	cross	cross
processed512/circ_01_freq_reflect_b7692f2a-b9ff-11ee-8bd2-047c16a08772_0-276_80-90.png	circ	circ
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-70_80-90.png	box	box
processed512/cross_01_freq_reflect_3be7fd33-bd16-11ee-be43-047c16a08772_0-642_80-90.png	cross	cross
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-200_80-90.png	box	box
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-427_80-90.png	circ	circ
processed512/cross_01_freq_reflect_e9503ad7-c681-11ee-809f-047c16a08772_0-346_80-90.png	cross	cross
processed512/cross_01_freq_reflect_3be7fd33-bd16-11ee-be43-047c16a08772_0-599_80-90.png	cross	cross
processed512/box_01_freq_reflect_e3744294-aba9-11ee-b4d0-047c16a08772_0-360_80-90.png	box	box
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-591_80-90.png	circ	circ
processed512/circ_01_freq_reflect_b7692f2a-b9ff-11ee-8bd2-047c16a08772_0-62_80-90.png	circ	circ
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-383_80-90.png	box	box
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-707_80-90.png	box	box
processed512/cross_01_freq_reflect_3be7fd33-bd16-11ee-be43-047c16a08772_0-611_80-90.png	cross	cross
processed512/cross_01_freq_reflect_e9503ad7-c681-11ee-809f-047c16a08772_0-445_80-90.png	cross	cross
processed512/box_01_freq_reflect_e3744294-aba9-11ee-b4d0-047c16a08772_0-304_80-90.png	box	box
processed512/cross_01_freq_reflect_bb139a98-e549-11ee-944e-047c16a08772_0-825_80-90.png	cross	cross
processed512/cross_01_freq_reflect_b1de6052-eca2-11ee-9194-047c16a08772_0-17_80-90.png	cross	cross
processed512/cross_01_freq_reflect_b1de6052-eca2-11ee-9194-047c16a08772_0-671_80-90.png	cross	cross
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-256_80-90.png	circ	circ
processed512/box_01_freq_reflect_2a1a6b92-ea35-11ee-b922-047c16a08772_0-509_80-90.png	box	box
processed512/cross_01_freq_reflect_8079ceb8-e14d-11ee-9a7b-047c16a08772_0-73_80-90.png	cross	cross
processed512/box_01_freq_reflect_c49e201f-ae96-11ee-88f3-047c16a08772_0-326_80-90.png	box	box
processed512/cross_01_freq_reflect_e9503ad7-c681-11ee-809f-047c16a08772_0-70_80-90.png	cross	cross
processed512/cross_01_freq_reflect_3bb122d5-e627-11ee-9e43-a4c3f0508c4a_0-3_80-90.png	cross	cross
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-172_80-90.png	circ	circ
processed512/circ_01_freq_reflect_b7692f2a-b9ff-11ee-8bd2-047c16a08772_0-199_80-90.png	circ	circ
processed512/cross_01_freq_reflect_b1de6052-eca2-11ee-9194-047c16a08772_0-327_80-90.png	cross	cross
processed512/cross_01_freq_reflect_3be7fd33-bd16-11ee-be43-047c16a08772_0-731_80-90.png	cross	cross
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-835_80-90.png	circ	circ
processed512/cross_01_freq_reflect_bb139a98-e549-11ee-944e-047c16a08772_0-385_80-90.png	cross	cross
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-216_80-90.png	circ	circ
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-830_80-90.png	circ	circ
processed512/circ_01_freq_reflect_b7692f2a-b9ff-11ee-8bd2-047c16a08772_0-115_80-90.png	circ	circ
processed512/circ_01_freq_reflect_6d743d30-e161-11ee-907c-047c16a08772_0-571_80-90.png	circ	circ
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-1073_80-90.png	circ	circ
processed512/cross_01_freq_reflect_3be7fd33-bd16-11ee-be43-047c16a08772_0-194_80-90.png	cross	cross
processed512/box_01_freq_reflect_2a1a6b92-ea35-11ee-b922-047c16a08772_0-363_80-90.png	box	box
processed512/circ_01_freq_reflect_56dee422-b317-11ee-bb58-047c16a08772_0-1130_80-90.png	circ	circ
processed512/cross_01_freq_reflect_bb139a98-e549-11ee-944e-047c16a08772_0-96_80-90.png	cross	cross
processed512/cross_01_freq_reflect_bb139a98-e549-11ee-944e-047c16a08772_0-912_80-90.png	cross	cross
processed512/box_01_freq_reflect_c49e201f-ae96-11ee-88f3-047c16a08772_0-144_80-90.png	box	box
processed512/box_01_freq_reflect_2a1a6b92-ea35-11ee-b922-047c16a08772_0-300_80-90.png	box	box
processed512/cross_01_freq_reflect_e9503ad7-c681-11ee-809f-047c16a08772_0-655_80-90.png	cross	cross
processed512/circ_01_freq_reflect_bd00bd23-e53b-11ee-a555-047c16a08772_0-349_80-90.png	circ	circ
processed512/cross_01_freq_reflect_b1de6052-eca2-11ee-9194-047c16a08772_0-200_80-90.png	box	cross
processed512/box_01_freq_reflect_2a1a6b92-ea35-11ee-b922-047c16a08772_0-12_80-90.png	box	box
processed512/box_01_freq_reflect_2a1a6b92-ea35-11ee-b922-047c16a08772_0-303_80-90.png	box	box
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-232_80-90.png	cross	box
processed512/box_01_freq_reflect_b6b02fee-a8bb-11ee-8e20-047c16a08772_0-658_80-90.png	box	box
